Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
21.6,2.3,66.8,1005.7,23,14,0.014,0.034,0.4,0.004,9
19.4,3.2,58.6,1002.1,32,15,0.019,0.024,0.4,0.004,21
16.3,2.4,49.1,1008.1,22,10,0.02,0.02,0.3,0.003,2
17.4,1.7,54.6,1010.2,33,19,0.013,0.039,0.5,0.004,14
20,1.9,48,1011.8,27,15,0.011,0.039,0.5,0.004,7
22.8,2.5,65.9,1009.6,7,4,0.017,0.016,0.2,0.003,11
20,2.3,83.4,1003.9,6,6,0.01,0.023,0.3,0.004,13
21.1,2.2,71,1003.5,31,20,0.012,0.037,0.4,0.005,9
18.1,5,57.5,1001.8,45,16,0.02,0.019,0.3,0.004,9
16.4,2.7,53.8,1009.2,26,10,0.024,0.022,0.3,0.004,6
18.3,2.4,63.6,1008.7,39,22,0.013,0.039,0.5,0.004,14
12,2.9,79.4,1007.4,21,12,0.01,0.022,0.4,0.003,12
11.2,1.8,53.1,1011.7,18,8,0.016,0.022,0.3,0.003,11
12.4,1.8,55.5,1017.9,30,16,0.006,0.039,0.5,0.004,4
13.6,1.8,54.8,1018.5,30,17,0.007,0.044,0.5,0.004,13
14.6,2.2,59.1,1015.5,25,15,0.009,0.037,0.5,0.004,3
16.2,2.8,50.3,1009.7,14,7,0.017,0.021,0.3,0.003,9
15.9,3.8,46.1,1013,16,8,0.019,0.021,0.3,0.003,11
16.2,2.9,49.1,1010.6,21,13,0.016,0.029,0.4,0.003,10
13.1,3.2,50.8,1007.7,38,16,0.017,0.026,0.4,0.004,15
9.3,3.8,41.9,1007.3,42,17,0.021,0.016,0.3,0.004,6
10,1.9,50.5,1007.3,44,21,0.013,0.03,0.4,0.003,5
11.4,2,56.3,1011.7,48,27,0.014,0.04,0.5,0.004,1
11.6,1.4,65.5,1014.1,59,34,0.007,0.056,0.7,0.005,15
12.7,2.6,71.3,1012.8,67,35,0.012,0.044,0.6,0.005,11
10.5,2,58.9,1014.8,26,16,0.014,0.03,0.5,0.004,7
11.7,1.7,54.9,1015.8,42,23,0.007,0.049,0.6,0.005,10
14.8,1.5,50.8,1015,52,30,0.009,0.057,0.7,0.005,33
11.6,1.6,79.8,1012.7,47,28,0.006,0.053,0.6,0.005,15
12.6,1.8,70.3,1013.6,51,30,0.012,0.037,0.6,0.005,41
12.3,1.8,64.3,1015.4,60,36,0.008,0.051,0.7,0.006,49
12.2,2.3,77.5,1008.9,61,31,0.006,0.055,0.7,0.006,33
12.2,4,52.9,1008.3,58,28,0.019,0.021,0.4,0.005,36
9,1.6,43.4,1015.9,34,20,0.003,0.047,0.4,0.004,23
11.6,2.4,62.1,1010.2,27,15,0.004,0.04,0.4,0.004,12
2.6,2.8,32.9,1011.8,27,10,0.018,0.017,0.2,0.003,67
3.4,2.7,36.1,1011.3,20,11,0.015,0.02,0.3,0.003,42
4.8,1.7,43.5,1012.4,37,18,0.005,0.043,0.4,0.004,20
6.7,1.9,55.1,1010.2,48,26,0.003,0.055,0.6,0.006,26
8.2,1.8,78.3,1010.2,65,36,0.004,0.048,0.6,0.006,30
7,2.6,72,1006.6,72,36,0.005,0.049,0.7,0.005,15
1.1,5.2,53.6,1004.1,15,7,0.013,0.014,0.2,0.003,46
1.1,4.4,53.9,1006.3,21,10,0.011,0.018,0.2,0.003,34
1.5,3.2,38.8,1010.2,21,10,0.011,0.02,0.2,0.004,35
2.6,2.4,48.8,1013.4,23,12,0.008,0.029,0.3,0.005,40
4.6,1.9,57.9,1014.6,56,31,0.006,0.049,0.8,0.007,28
7.1,1.7,64.6,1013.3,97,52,0.006,0.065,1.1,0.009,18
7.3,3.5,74.3,1003.4,90,45,0.01,0.044,0.6,0.007,4
4.7,6.1,64.6,996.5,17,7,0.013,0.021,0.3,0.004,38
2.1,2.5,60.9,1006.1,26,12,0.008,0.032,0.4,0.004,48
0,3.4,66.8,1004.8,18,9,0.01,0.024,0.3,0.004,40
-3.8,2.9,48.9,1009.9,50,8,0.012,0.019,0.2,0.003,30
-0.7,1.8,52.9,1009.6,44,12,0.007,0.034,0.4,0.004,37
5.3,2.4,56.9,1009.8,46,21,0.004,0.05,0.6,0.005,16
4.5,2.1,66.9,1010.7,52,26,0.007,0.042,0.6,0.005,911
