Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
19.4,3.2,58.6,1002.1,32,15,0.019,0.024,0.4,0.004,0
17.4,1.7,54.6,1010.2,33,19,0.013,0.039,0.5,0.004,0
20,1.9,48,1011.8,27,15,0.011,0.039,0.5,0.004,0
21.1,2.2,71,1003.5,31,20,0.012,0.037,0.4,0.005,0
18.1,5,57.5,1001.8,45,16,0.02,0.019,0.3,0.004,0
18.3,2.4,63.6,1008.7,39,22,0.013,0.039,0.5,0.004,0
13.6,1.8,54.8,1018.5,30,17,0.007,0.044,0.5,0.004,0
13.1,3.2,50.8,1007.7,38,16,0.017,0.026,0.4,0.004,0
11.6,1.4,65.5,1014.1,59,34,0.007,0.056,0.7,0.005,0
12.7,2.6,71.3,1012.8,67,35,0.012,0.044,0.6,0.005,0
10.5,2,58.9,1014.8,26,16,0.014,0.03,0.5,0.004,0
11.7,1.7,54.9,1015.8,42,23,0.007,0.049,0.6,0.005,0
14.8,1.5,50.8,1015,52,30,0.009,0.057,0.7,0.005,0
11.6,1.6,79.8,1012.7,47,28,0.006,0.053,0.6,0.005,0
12.6,1.8,70.3,1013.6,51,30,0.012,0.037,0.6,0.005,0
12.3,1.8,64.3,1015.4,60,36,0.008,0.051,0.7,0.006,0
12.2,2.3,77.5,1008.9,61,31,0.006,0.055,0.7,0.006,0
12.2,4,52.9,1008.3,58,28,0.019,0.021,0.4,0.005,0
9,1.6,43.4,1015.9,34,20,0.003,0.047,0.4,0.004,0
11.6,2.4,62.1,1010.2,27,15,0.004,0.04,0.4,0.004,0
4.8,1.7,43.5,1012.4,37,18,0.005,0.043,0.4,0.004,0
6.7,1.9,55.1,1010.2,48,26,0.003,0.055,0.6,0.006,0
8.2,1.8,78.3,1010.2,65,36,0.004,0.048,0.6,0.006,0
7,2.6,72,1006.6,72,36,0.005,0.049,0.7,0.005,0
4.6,1.9,57.9,1014.6,56,31,0.006,0.049,0.8,0.007,0
5.3,2.4,56.9,1009.8,46,21,0.004,0.05,0.6,0.005,0
4.2,2.8,75.3,1012.2,44,24,0.002,0.043,0.6,0.004,0
-2.1,1.9,57.5,1018.5,44,26,0.007,0.046,0.5,0.005,0
-0.5,1.8,60.4,1016.9,67,40,0.004,0.065,0.8,0.006,0
-2.9,2.1,59.8,1009.9,26,16,0.005,0.047,0.5,0.004,0
-0.1,2.4,47.1,1008.8,41,19,0.007,0.033,0.4,0.004,1
0.5,3.3,56.6,1010.9,55,29,0.01,0.032,0.4,0.006,1
-1.7,1.9,44.1,1020.4,47,26,0.006,0.054,0.7,0.006,1
-2.2,3.1,42.4,1016.9,51,21,0.018,0.02,0.4,0.007,1
-0.8,2.1,65.6,1015.7,54,33,0.005,0.058,0.8,0.009,1
4.2,2.4,74.4,1006.2,45,25,0.005,0.04,0.7,0.008,1
4.2,2,45.5,1016.5,68,35,0.019,0.042,0.6,0.009,0
2.1,2.6,48.6,1015.7,26,15,0.013,0.035,0.4,0.004,0
0.9,2.6,49.1,1019.5,63,33,0.021,0.038,0.6,0.007,0
5.2,2,34.4,1016,53,23,0.017,0.046,0.5,0.008,0
1.5,3,50.4,1015.8,35,16,0.016,0.034,0.4,0.005,0
4.5,2.8,65,1015.2,48,24,0.008,0.05,0.5,0.007,0
3.4,3.6,54.6,1008.5,56,34,0.025,0.036,0.4,0.005,0
6.8,4,66.8,1008.4,86,38,0.024,0.04,0.5,0.008,0
12.6,3.5,79,1006.7,61,27,0.017,0.045,0.6,0.007,0
6.3,3.2,71.3,1003.7,63,23,0.021,0.03,0.4,0.006,0
10.9,3.5,60.5,1011.8,49,25,0.021,0.047,0.5,0.007,0
14.6,2.7,75.9,1004.6,49,26,0.019,0.035,0.3,0.006,0
13.5,2.8,68.9,1006.3,84,37,0.013,0.063,0.6,0.01,0
14.5,2.3,49.3,1005.8,59,27,0.015,0.052,0.6,0.006,0
15.6,2.4,33.8,1005.6,63,25,0.016,0.055,0.6,0.007,0
10.3,3.4,64.9,1008,63,19,0.019,0.037,0.4,0.007,0
12.5,2.4,71.5,1008.4,56,26,0.017,0.045,0.5,0.006,0
13.6,2.8,69.5,1008.7,64,29,0.016,0.046,0.5,0.008,0
15.9,2.6,59.9,1005.4,59,33,0.021,0.036,0.4,0.005,0
14,4.5,56,1009.3,39,22,0.023,0.021,0.3,0.004,0
16,2.8,43.1,1005.2,48,23,0.034,0.041,0.5,0.006,0
19,2.2,32.5,1012.7,58,41,0.028,0.064,0.6,0.007,0
16,3.2,60.5,1003.3,47,26,0.034,0.035,0.3,0.006,0
15.7,3.6,70.9,1002.4,73,42,0.037,0.034,0.4,0.007,0
15.7,3.8,48.3,1002.6,40,21,0.036,0.035,0.3,0.006,0
14.5,4.2,83.9,1000.6,31,21,0.034,0.027,0.3,0.005,0
16.4,5.2,79.1,995.2,38,29,0.045,0.023,0.4,0.005,0
19.6,3.5,59.1,992,71,18,0.067,0.027,0.4,0.01,0
20,2.3,55.1,1002.4,52,26,0.029,0.046,0.4,0.007,0
21.5,2.2,45.4,996.4,68,30,0.036,0.036,0.3,0.007,0
20.1,3.7,65.3,996.6,52,25,0.033,0.028,0.2,0.006,0
21.3,2.3,68.8,1006.7,63,37,0.034,0.04,0.4,0.008,0
19.4,4,67.4,992.3,73,15,0.04,0.031,0.4,0.006,0
